TYPE,TRACE,A,B,C

DATE & TIME,07Nov2008 12:35AM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C
START,1425.000,1425.000,1425.000
STOP,1675.000,1675.000,1675.000
HORIZONTAL SCALE,nm,nm,nm
LENGTH (pts),1001,1001,1001
RBW (nm),0.20,0.20,0.20
VBW (Hz),194,194,194

REFERENCE LEVEL (dBm),-30.32,-30.32,-30.32
VERTICAL SCALE,dBm,dBm,dBm
SENSITIVITY (dBm),-79.87,-79.87,-79.87

AVERAGING,OFF,OFF,OFF
MIN,OFF,OFF,OFF
MAX,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000

MARKER,1
MARKER TRACE,A
MARKER X POSITION,1550.000
442,-56.285,-42.936,-55.370
443,-54.925,-42.697,-55.571
444,-54.367,-42.570,-55.816
445,-55.713,-43.029,-55.997
446,-56.668,-42.795,-55.493
447,-55.970,-42.666,-55.022
448,-55.361,-42.735,-55.335
449,-55.071,-43.046,-55.681
450,-54.847,-42.997,-55.959
451,-54.962,-42.702,-55.548
452,-56.235,-42.593,-55.670
453,-56.664,-43.020,-56.020
454,-56.090,-42.948,-55.943
455,-55.358,-42.617,-55.603
456,-54.755,-42.894,-56.261
457,-55.528,-43.081,-56.509
458,-57.121,-42.784,-55.843
459,-56.337,-42.672,-55.256
460,-56.277,-42.835,-55.720
461,-55.566,-42.967,-56.125
462,-54.506,-43.059,-56.138
463,-54.410,-42.642,-55.463
464,-56.426,-42.787,-55.793
465,-56.658,-42.975,-56.119
466,-56.575,-42.799,-55.887
467,-55.320,-42.566,-55.273
468,-54.959,-43.011,-56.503
469,-55.835,-43.051,-56.283
470,-57.114,-42.748,-56.231
471,-56.789,-42.590,-55.834
472,-57.271,-43.007,-56.480
473,-56.283,-42.925,-56.493
474,-54.823,-42.848,-56.378
475,-55.320,-42.640,-56.099
476,-56.919,-42.848,-56.235
477,-57.442,-42.971,-56.013
478,-56.325,-42.718,-55.779
479,-55.244,-42.578,-55.665
480,-55.259,-43.107,-56.515
481,-56.232,-42.967,-56.677
482,-56.814,-42.589,-56.437
483,-57.176,-42.694,-56.127
484,-57.013,-42.905,-56.542
485,-56.038,-42.823,-56.586
486,-55.053,-42.741,-56.816
487,-56.045,-42.713,-56.475
488,-57.391,-42.884,-57.066
489,-57.536,-42.926,-56.049
490,-56.311,-42.520,-55.877
491,-55.009,-42.631,-56.521
492,-55.675,-43.003,-56.724
493,-56.542,-42.965,-56.294
494,-57.331,-42.613,-55.696
495,-57.594,-42.778,-55.887
496,-57.129,-42.914,-57.029
497,-55.922,-42.834,-57.449
498,-55.687,-42.583,-56.924
499,-57.413,-42.778,-56.701
500,-58.011,-42.880,-56.877
501,-57.690,-42.919,-56.157
502,-56.112,-42.486,-56.366
503,-55.368,-42.738,-56.796
504,-56.244,-42.825,-56.859
505,-57.283,-42.778,-56.424
506,-57.199,-42.460,-54.960
507,-56.876,-42.809,-55.609
508,-56.273,-42.901,-57.277
509,-55.624,-42.704,-57.443
510,-56.641,-42.403,-56.196
511,-58.112,-42.754,-55.814
512,-57.858,-42.810,-55.785
513,-57.194,-42.751,-56.837
514,-55.638,-42.445,-57.942
515,-56.607,-42.658,-57.073
516,-58.239,-42.718,-56.743
517,-57.851,-42.679,-55.591
518,-56.945,-42.440,-56.422
519,-56.441,-42.736,-57.719
520,-55.815,-42.758,-57.599
521,-56.403,-42.690,-56.340
522,-57.165,-42.397,-55.074
523,-57.347,-42.668,-55.655
524,-57.011,-42.826,-56.989
525,-55.634,-42.676,-57.369
526,-55.939,-42.416,-56.397
527,-58.280,-42.893,-56.301
528,-58.999,-42.806,-56.266
529,-58.361,-42.491,-57.893
530,-56.636,-42.440,-57.845
531,-56.516,-42.676,-57.455
532,-57.982,-42.761,-56.283
533,-58.772,-42.602,-55.501
534,-58.189,-42.418,-56.313
535,-56.982,-42.527,-58.279
536,-56.338,-42.725,-57.824
537,-57.172,-42.542,-56.303
538,-57.772,-42.347,-55.406
539,-57.671,-42.700,-56.366
540,-57.536,-42.808,-58.386
541,-56.773,-42.397,-58.637
542,-56.946,-42.377,-57.362
543,-58.815,-42.658,-56.592
544,-58.229,-42.706,-56.940
545,-57.673,-42.485,-57.859
546,-56.491,-42.460,-58.752
547,-57.220,-42.567,-58.288
548,-58.809,-42.751,-56.723
549,-58.390,-42.456,-55.791
550,-57.476,-42.274,-57.168
551,-57.057,-42.616,-57.644
552,-56.540,-42.844,-58.011
553,-57.740,-42.318,-56.821
554,-58.282,-42.307,-55.434
555,-58.179,-42.621,-56.753
556,-57.165,-42.558,-58.232
557,-56.375,-42.419,-57.299
558,-57.816,-42.337,-56.499
559,-59.058,-42.487,-56.203
560,-59.393,-42.666,-57.834
561,-57.477,-42.434,-58.927
562,-56.207,-42.213,-59.041
563,-56.976,-42.560,-56.736
564,-58.469,-42.687,-56.674
565,-58.706,-42.375,-56.524
566,-56.942,-42.268,-57.656
567,-56.254,-42.565,-57.328
568,-57.195,-42.558,-56.497
569,-58.459,-42.357,-55.671
570,-58.909,-42.298,-56.967
571,-57.910,-42.555,-58.139
572,-56.940,-42.669,-57.750
573,-56.938,-42.412,-56.745
574,-58.825,-42.210,-55.947
575,-59.415,-42.471,-57.476
576,-58.067,-42.594,-58.248
577,-56.567,-42.405,-57.673
578,-57.192,-42.262,-55.887
579,-58.617,-42.505,-55.877
580,-57.838,-42.606,-56.948
581,-56.935,-42.334,-58.043
582,-55.865,-42.233,-57.519
583,-57.079,-42.494,-56.389
584,-58.822,-42.621,-56.178
585,-57.980,-42.398,-56.663
586,-56.698,-42.217,-56.867
587,-56.545,-42.424,-57.767
588,-58.073,-42.559,-56.580
589,-58.720,-42.344,-56.395
590,-58.559,-42.244,-57.870
591,-56.819,-42.449,-58.144
592,-56.478,-42.565,-57.905
593,-58.482,-42.441,-56.071
594,-58.630,-42.132,-56.179
595,-57.734,-42.342,-57.297
596,-56.121,-42.691,-57.310
597,-55.809,-42.555,-56.066
598,-57.866,-42.184,-54.847
599,-57.955,-42.444,-56.353
600,-57.929,-42.629,-57.824
601,-55.921,-42.416,-57.599
602,-56.139,-42.274,-55.583
603,-57.975,-42.497,-55.164
604,-57.931,-42.597,-57.336
605,-56.807,-42.549,-57.204
606,-55.564,-42.248,-57.307
607,-57.295,-42.307,-55.425
608,-58.647,-42.466,-55.914
609,-58.533,-42.526,-57.933
610,-55.472,-42.144,-57.790
611,-55.602,-42.379,-55.726
612,-57.861,-42.668,-55.164
613,-57.856,-42.588,-56.134
614,-55.839,-42.127,-56.004
615,-54.409,-42.295,-56.270
616,-55.906,-42.552,-55.264
617,-58.200,-42.487,-55.718
618,-57.833,-42.249,-57.130
619,-55.244,-42.343,-57.680
620,-55.264,-42.388,-55.906
621,-57.005,-42.547,-54.965
622,-57.211,-42.162,-56.091
623,-56.040,-42.189,-56.640
624,-54.909,-42.456,-56.234
625,-55.823,-42.626,-54.508
626,-56.926,-42.226,-54.553
627,-56.500,-42.225,-56.170
628,-54.697,-42.431,-56.139
629,-54.791,-42.581,-54.726
630,-56.058,-42.178,-53.728
631,-56.041,-42.316,-55.663
632,-54.769,-42.439,-56.043
633,-54.092,-42.550,-54.932
634,-55.098,-42.249,-53.213
635,-55.731,-42.254,-54.853
636,-55.536,-42.320,-55.999
637,-53.816,-42.659,-55.640
638,-54.266,-42.336,-53.356
639,-55.268,-42.179,-54.045
640,-55.407,-42.406,-55.237
641,-53.938,-42.707,-55.586
642,-53.856,-42.264,-52.983
643,-55.025,-42.193,-53.086
644,-54.922,-42.433,-54.344
645,-53.697,-42.536,-55.214
646,-53.298,-42.388,-53.073
647,-54.670,-42.169,-52.710
648,-54.491,-42.227,-54.875
649,-53.485,-42.417,-54.500
650,-52.640,-42.352,-52.988
651,-53.588,-42.124,-52.197
652,-54.199,-42.326,-53.568
653,-53.590,-42.500,-53.809
654,-53.086,-42.540,-52.890
655,-53.881,-42.102,-51.984
656,-53.681,-42.198,-53.831
657,-53.345,-42.419,-53.657
658,-52.521,-42.518,-52.907
659,-52.689,-42.165,-51.788
660,-52.970,-42.269,-52.854
661,-52.785,-42.473,-53.206
662,-52.198,-42.434,-52.230
663,-52.624,-42.165,-51.661
664,-52.477,-42.152,-52.669
665,-52.515,-42.317,-53.022
666,-52.445,-42.569,-52.259
667,-52.679,-42.158,-51.806
668,-52.332,-42.159,-51.988
669,-51.980,-42.305,-52.493
670,-52.609,-42.561,-52.285
671,-52.932,-42.233,-52.295
672,-51.924,-42.138,-52.082
673,-51.722,-42.182,-52.047
674,-52.437,-42.443,-52.038
675,-52.192,-42.231,-51.722
676,-51.324,-42.055,-51.400
677,-51.183,-42.202,-51.587
678,-52.452,-42.554,-51.888
679,-52.256,-42.313,-51.951
680,-51.319,-42.061,-51.279
681,-51.139,-42.179,-50.936
682,-52.261,-42.357,-51.544
683,-52.206,-42.333,-51.999
684,-51.094,-42.044,-51.384
685,-51.219,-42.229,-50.919
686,-52.449,-42.368,-52.109
687,-52.075,-42.518,-52.083
688,-50.950,-42.121,-50.946
689,-51.154,-42.043,-50.884
690,-51.956,-42.177,-51.574
691,-51.910,-42.425,-51.468
692,-51.223,-42.080,-50.656
693,-50.974,-42.055,-50.764
694,-51.236,-42.314,-51.225
695,-51.654,-42.462,-51.518
696,-51.299,-42.067,-51.127
697,-50.973,-41.989,-50.822
698,-51.100,-42.110,-51.106
699,-51.902,-42.332,-51.706
700,-51.462,-42.141,-51.523
701,-50.868,-42.076,-50.759
702,-51.221,-42.121,-50.816
703,-52.124,-42.382,-51.693
704,-51.702,-42.348,-51.546
705,-50.785,-42.023,-50.662
706,-51.176,-42.016,-51.109
707,-51.794,-42.388,-51.478
708,-51.600,-42.324,-51.261
709,-50.926,-42.007,-50.708
710,-51.041,-42.044,-50.574
711,-51.381,-42.239,-50.807
712,-51.820,-42.326,-51.132
713,-51.142,-42.028,-50.842
714,-50.582,-42.140,-50.633
715,-51.480,-42.194,-51.182
716,-51.951,-42.323,-51.675
717,-51.210,-42.009,-51.054
718,-50.797,-41.981,-50.538
