TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
338,-51.165,-53.066,-51.848,-53.265
339,-50.477,-53.178,-51.680,-52.965
340,-50.745,-52.814,-52.601,-52.895
341,-51.008,-53.148,-53.610,-53.021
342,-50.527,-53.005,-53.204,-52.740
343,-50.644,-52.670,-51.345,-53.015
344,-51.153,-53.279,-51.920,-53.328
345,-50.703,-53.040,-52.315,-53.016
346,-50.579,-52.738,-53.155,-52.812
347,-51.109,-53.268,-54.089,-53.044
348,-50.705,-53.040,-51.749,-53.183
349,-50.649,-52.678,-51.128,-53.091
350,-51.192,-53.615,-52.643,-53.454
351,-50.914,-53.018,-53.611,-53.036
352,-50.735,-52.795,-53.798,-52.665
353,-51.199,-53.352,-52.318,-53.292
354,-50.877,-52.932,-51.410,-53.340
355,-50.400,-52.670,-51.768,-53.003
356,-51.097,-53.567,-54.282,-53.253
357,-50.965,-53.108,-53.458,-53.040
358,-50.498,-52.759,-52.186,-52.886
359,-50.984,-53.497,-51.970,-53.545
360,-51.115,-53.156,-51.860,-53.310
361,-50.577,-52.994,-54.029,-52.896
362,-51.014,-53.321,-53.460,-53.192
363,-51.065,-53.300,-52.627,-53.285
364,-50.633,-52.737,-51.675,-53.320
365,-51.056,-53.273,-51.918,-53.469
366,-51.169,-53.278,-53.736,-53.347
367,-50.664,-53.055,-53.722,-52.965
368,-50.905,-53.265,-52.486,-53.024
369,-51.232,-53.550,-52.607,-53.627
370,-50.786,-53.196,-51.771,-53.447
371,-50.818,-53.098,-53.124,-53.155
372,-51.191,-53.481,-54.300,-53.419
373,-50.821,-53.128,-52.563,-53.176
374,-50.833,-53.068,-51.846,-53.176
375,-51.310,-53.432,-52.436,-53.855
376,-50.795,-53.251,-53.138,-53.305
377,-50.806,-53.120,-54.031,-52.827
378,-51.301,-53.595,-53.207,-53.519
379,-50.832,-53.326,-51.902,-53.430
380,-50.730,-53.024,-51.884,-53.386
381,-51.267,-53.579,-53.355,-53.759
382,-51.162,-53.475,-54.110,-53.192
383,-50.683,-53.084,-53.118,-52.941
384,-51.292,-53.580,-52.191,-53.808
385,-50.996,-53.665,-52.623,-53.687
386,-50.574,-53.137,-53.263,-53.302
387,-51.172,-53.416,-53.808,-53.276
388,-51.106,-53.579,-53.348,-53.245
389,-50.757,-53.338,-51.669,-53.428
390,-51.158,-53.354,-52.207,-53.784
391,-51.171,-53.687,-54.176,-53.554
392,-50.673,-53.204,-53.642,-53.103
393,-51.047,-53.317,-52.960,-53.113
394,-51.230,-53.559,-52.272,-53.767
395,-50.938,-53.303,-52.056,-53.861
396,-50.919,-53.444,-54.142,-53.232
397,-51.432,-53.607,-53.826,-53.536
398,-50.976,-53.488,-52.594,-53.201
399,-50.828,-53.347,-51.885,-53.674
400,-51.525,-53.624,-52.643,-54.051
401,-50.907,-53.757,-54.668,-53.415
402,-50.792,-53.482,-54.026,-52.923
403,-51.332,-53.556,-52.736,-53.544
404,-50.929,-53.640,-52.236,-53.898
405,-50.744,-53.352,-52.059,-53.806
406,-51.227,-53.761,-54.748,-53.533
407,-51.205,-53.791,-54.104,-53.242
408,-50.884,-53.244,-52.141,-53.288
409,-51.119,-53.696,-52.253,-54.201
410,-51.475,-53.745,-53.021,-53.900
411,-50.775,-53.263,-54.596,-52.955
412,-50.982,-53.849,-53.601,-53.218
413,-51.506,-54.030,-52.723,-53.897
414,-50.881,-53.486,-52.169,-54.222
415,-51.006,-53.567,-53.439,-53.717
416,-51.404,-53.738,-54.718,-53.498
417,-51.025,-53.962,-52.905,-53.290
418,-50.850,-53.686,-52.109,-53.697
419,-51.235,-53.777,-52.940,-54.493
420,-51.149,-53.765,-54.117,-53.747
421,-50.781,-53.447,-54.552,-52.815
422,-51.415,-53.993,-52.665,-53.661
423,-51.351,-54.028,-52.445,-54.607
424,-50.841,-53.308,-52.682,-54.222
425,-51.439,-53.932,-54.045,-53.607
426,-51.441,-53.819,-54.546,-53.200
427,-50.841,-53.724,-52.248,-53.467
428,-51.461,-53.984,-52.603,-54.841
429,-51.419,-53.740,-54.156,-54.006
430,-51.020,-54.226,-54.589,-52.910
431,-51.116,-53.792,-53.276,-52.841
